ID,Title,Description,Category,Date,Author,Channel,Resource URL,Discord URL
1,YouTube Video,"This YouTube tutorial guides Spanish speakers through creating a Discord server using commands in their native language, enhancing accessibility for non-English users on the platform. Viewers will learn how to set up and customize servers with bots that facilitate communication among members who ...",Educational Videos,2025-04-12,Jose Cordovilla,🛠it-support,https://www.youtube.com/watch?v=NVKsSbfyWg0,https://discord.com/channels/1353058864810950737/1360639083336175917/1360643109062709400
2,Hugging Face: learn/agents-course,"The 'Agents' course on Hugging Face is a comprehensive self-paced learning resource designed to teach the creation of AI agents using state-of-the-art techniques like GPT, BERT, and more recently transformer models. It covers various aspects from understanding natural language processing (NLP) ba...",AI Models,2025-04-12,Sangame Krishnamani,📖resources-library,https://huggingface.co/learn/agents-course,https://discord.com/channels/1353058864810950737/1353449106537713756/1360643121121333471
3,YouTube Video,"This YouTube tutorial, shared by a user on WhatsApp, demonstrates the process of creating an origami crane using simple folds like valley and mountain folds. Viewers will learn step-by-step instructions to transform a square paper into an elegant bird shape without cutting or gluing it. The video...",Educational Videos,2025-04-12,Jose Cordovilla,🛠it-support,https://www.youtube.com/watch?v=z5c6Bc-S0TI,https://discord.com/channels/1353058864810950737/1360639083336175917/1360651887723937973
4,Courses,"Deep Learning AI Academy (DLA) offers accessible deep learning courses that demystify complex concepts for learners at all levels. Despite an intimidating name, DLA's curriculum is praised for being straightforward and easy to follow. Irene shares her positive personal experience with the academy...",AI Education,2025-04-12,Nasser Aly,📖resources-library,https://www.deeplearning.ai/courses/,https://discord.com/channels/1353058864810950737/1353449106537713756/1360657876950978611
5,Generative Ai For Everyone,"The ""Generative AI for Everyone"" course by DeepLearning.ai offers an accessible introduction to generative models in deep learning with hands-on projects using Python libraries like PyTorch, TensorFlow, or Hugging Face Transformers. It's designed as a primer and is suitable for beginners interest...",AI Education,2025-04-13,Jose Cordovilla,📖resources-library,https://www.deeplearning.ai/courses/generative-ai-for-everyone/,https://discord.com/channels/1353058864810950737/1353449106537713756/1360931327574278275
6,Ai Python For Beginners,"The ""AI Python for Beginners"" course by DeepLearning.ai offers foundational knowledge in using AI with Python programming language. It's designed to equip beginners with the skills needed to apply generative models effectively, making complex concepts accessible and practical. This resource is va...",AI Education,2025-04-13,Jose Cordovilla,📖resources-library,https://www.deeplearning.ai/short-courses/ai-python-for-beginners/,https://discord.com/channels/1353058864810950737/1353449106537713756/1360931327574278275
7,Chatgpt Prompt Engineering For Developers,"The ""ChatGPT Prompt Engineering for Developers"" course available at Deeplearning.ai offers in-depth knowledge about crafting effective prompts to interact with ChatGPT, a powerful language model developed by Microsoft. This resource is particularly valuable for developers looking to integrate AI ...",AI Education,2025-04-13,Jose Cordovilla,📖resources-library,https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/,https://discord.com/channels/1353058864810950737/1353449106537713756/1360931327574278275
8,Building Systems With Chatgpt,"This Deepl Learning Resource offers comprehensive courses in Generative AI tailored to beginners at https://www.deeplearning.ai/courses/generative-ai-for-everyone/. It provides a foundational understanding of generative models and their applications, making it an essential primer for anyone inter...",AI Education,2025-04-13,Jose Cordovilla,📖resources-library,https://www.deeplearning.ai/short-courses/building-systems-with-chatgpt/,https://discord.com/channels/1353058864810950737/1353449106537713756/1360931327574278275
9,YouTube Video,"In the YouTube video featuring Shopify's CEO, Toby Askiluk discusses mandating AI usage across all departments for enhanced productivity. He emphasizes that every project at Shopify should now include an AI component and encourages employees to become proficient in its application within their ro...",Educational Videos,2025-04-13,Michael Keady,🏘general-chat,https://www.youtube.com/watch?v=azFqedxcWDw,https://discord.com/channels/1353058864810950737/1353058864810950740/1361009225639268554
10,arXiv Paper: 2405.12514,"The arXiv preprint titled ""Future You"" presents an AI-driven tool designed to simulate interactions with one's future self over the span of several years into adulthood, aiming at reducing anxiety about long-term goals. Key contributions include enhancing user engagement in personal development a...",Research Papers,2025-04-14,Amber Bellou,🏘general-chat,https://arxiv.org/abs/2405.12514,https://discord.com/channels/1353058864810950737/1353058864810950740/1361351890817781770
